Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C6, C7",0805,4,22pf,
"C10, C11, C3, C4, C5, C8, C9",0805,7,100nF,
"C12, C13",0805,2,1uF,
C14,CP_Radial_D4.0mm_P2.00mm,1,4.7uF,
C15,CP_Radial_D4.0mm_P2.00mm,1,100uF,
C16,0805,1,10nF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D3, D4, D5, D6, D7, D8, D9",LED_D3.0mm_FlatTop,22,LED,
FB1,0805,1,10R,
IC1,SOIC127P600X175-8N,1,"TJA1050T_CM,118",
IC2,SOP65P640X120-20N,1,MCP2515T-I_ST,
"IC3, IC4",SOIC127P1030X265-28N,2,MCP23017-E_SO,
J1,PinSocket_2x03_P2.54mm_Vertical,1,ICP Header,
J2,PinSocket_1x03_P2.54mm_Vertical,1,Serial Mon,
J3,JST_EH_S4B-EH_1x04_P2.50mm_Horizontal,1,Output,
J4,JST_EH_S4B-EH_1x04_P2.50mm_Horizontal,1,Input,
"R1, R25, R29, R30",0603,4,10k,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R26, R27, R4, R5, R6, R7, R8, R9",0603,22,330R,
"R2, R3, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R51, R52",0603,20,4k7,
"R24, R53",0603,2,1k,
R28,1206,1,120R,
"R31, R32, R33, R34",0603,4,Link,
S1,SR1712F010820F0AN9N027,1,Waveform_0,
"S10, S11, S12, S13, S14, S15, S16, S5, S6, S7, S8, S9",TL2285OA,12,TL2285OA,
S2,SR1712F010820F0AN9N027,1,Range_0,
S3,SR1712F010820F0AN9N027,1,Waveform_1,
S4,SR1712F010820F0AN9N027,1,Range_1,
U1,TQFP-32_7x7mm_P0.8mm,1,ATmega328P-A,
U2,SSOP-24_5.3x8.2mm_P0.65mm,1,CD74HC4067SM,
"VR1, VR7",RK09K1130AAU,2,Detune_1,
"VR10, VR4",RK09K1130AAU,2,Folds_1,
"VR11, VR5",RK09K1130AAU,2,S&H_1,
"VR12, VR6",RK09K1130AAU,2,Level_1,
"VR2, VR8",RK09K1130AAU,2,PulseW_1,
"VR3, VR9",RK09K1130AAU,2,ChaosR_1,
Y1,Crystal_HC49-4H_Vertical,1,8Mhz,
Y2,Crystal_HC49-4H_Vertical,1,16Mhz,
